A,B,C,D
1.0,4.0,6.009999999329448,-40.64999999523163
2.0,37.0,15.120000000596047,25.09999999731779
3.0,5.0,24.120000000596047,-38.810000006556514
4.0,3.0,33.35000000476837,-42.810000006556514
5.0,7.0,42.05999999821186,-34.679999996423724
6.0,27.0,51.12000000059604,5.109999995231629
7.0,10.0,60.21999999463558,-28.910000000596046
8.0,8.0,69.26999999165535,-32.800000001192096
9.0,13.0,78.36999998569489,-23.000000000447034
10.0,4.0,87.19999999880791,-40.990000000670555
11.0,34.0,96.28000001192093,19.089999999403954
12.0,28.0,105.03000000074506,7.239999990463257
13.0,21.0,114.34000001430512,-6.780000005364418
14.0,5.0,123.15000000178814,-38.849999998211864
15.0,16.0,132.3400000143051,-17.02
16.0,34.0,141.28000001192092,19.290000002384186
17.0,35.0,150.0800000014901,21.120000000596047
18.0,7.0,159.29999999284743,-34.839999992847446
19.0,37.0,168.05999999821185,25.310000013113022
20.0,33.0,177.12000000059604,17.32000000357628
21.0,15.0,186.21000000417231,-19.000000000447034
22.0,2.0,195.1699999976158,-44.70999999761582
23.0,34.0,204.10999999523162,19.260000001192093
24.0,35.0,212.99999999955295,21.180000002980233
25.0,26.0,222.07000000357627,3.0899999994039535
26.0,18.0,231.12000000059604,-13.000000000447034
27.0,5.0,240.00999999932944,-38.73999999880791
28.0,19.0,249.21999999463557,-10.869999994039535
29.0,14.0,258.26999999165537,-20.649999995231628
30.0,28.0,267.1999999988079,7.299999992847443
31.0,14.0,276.1600000071526,-20.949999999701976
32.0,4.0,285.1999999988079,-40.94999999970198
33.0,33.0,294.1300000059605,17.199999998807908
34.0,19.0,303.05000000029804,-10.670000005960464
35.0,21.0,312.1899999934435,-6.630000014305114
36.0,15.0,321.00999999932947,-18.90000000268221
37.0,5.0,330.10999999523165,-38.91000000059605
38.0,19.0,339.34000001430513,-10.98000000089407
39.0,3.0,348.2600000011921,-42.839999992847446
40.0,20.0,357.23,-8.73000000834465
41.0,39.0,366.1999999988079,29.169999997615815
42.0,23.0,374.999999999553,-2.8799999994039536
43.0,3.0,384.00999999932947,-43.02
44.0,9.0,393.28000001192095,-30.789999995827674
45.0,2.0,402.13999999642374,-44.86999999403954
46.0,22.0,411.1600000071526,-4.630000014305114
47.0,28.0,420.0399999986589,7.23
48.0,39.0,429.18000000298025,29.009999999329448
49.0,16.0,438.05000000029804,-16.98000000089407
50.0,1.0,446.9899999997765,-46.839999992847446
51.0,21.0,456.12000000059606,-6.689999986886978
52.0,17.0,465.34000001430513,-14.71999998807907
53.0,36.0,474.31000001311304,23.28000001192093
54.0,24.0,483.0300000007451,-0.7099999976158142
55.0,5.0,492.1999999988079,-38.77
56.0,24.0,501.25000001072885,-0.6799999964237213
57.0,31.0,510.35999999523165,13.080000001490117
58.0,35.0,519.3599999952316,21.260000001192093
59.0,13.0,528.2900000023842,-22.919999998509883
60.0,18.0,537.2100000041723,-12.919999998509883
61.0,13.0,546.019999999106,-22.879999999403953
62.0,37.0,555.1200000005961,25.350000004768372
63.0,3.0,564.3200000035763,-42.77
64.0,25.0,572.9899999997765,1.0199999991059303
65.0,11.0,582.3699999856949,-26.780000005364418
66.0,19.0,591.2199999946356,-10.800000001192092
67.0,21.0,600.1899999934435,-6.839999992847442
68.0,23.0,609.2199999946356,-2.780000005364418
69.0,32.0,618.2100000041723,15.15000000178814
70.0,3.0,627.23,-42.94000000178814
71.0,31.0,636.2699999916554,13.169999997615815
72.0,6.0,645.3699999856949,-36.969999999254945
73.0,21.0,654.0999999973178,-6.649999995231628
74.0,32.0,663.1099999952316,15.310000013113022
75.0,2.0,672.23,-44.719999988079074
76.0,21.0,681.3299999940396,-6.830000002384185
77.0,26.0,690.2699999916554,3.1500000017881393
78.0,26.0,699.0599999982119,3.0399999986588955
79.0,10.0,707.98,-28.67999999642372
80.0,30.0,717.3400000143051,11.329999994039536
81.0,6.0,726.1999999988079,-37.01000000022352
82.0,27.0,735.3699999856949,5.009999999329448
83.0,35.0,744.2399999904633,21.130000005960465
84.0,36.0,753.3599999952316,23.180000002980233
85.0,19.0,762.3599999952316,-10.819999997019767
86.0,21.0,771.1699999976158,-6.670000005960464
87.0,1.0,780.0800000014901,-46.969999999254945
88.0,26.0,789.0999999973178,3.050000000298023
89.0,20.0,798.050000000298,-8.960000001341104
90.0,0.0,807.0800000014901,-48.67000000596047
91.0,10.0,816.089999999404,-28.789999995827674
92.0,30.0,825.1500000017882,11.32000000357628
93.0,21.0,834.310000013113,-6.940000001788139
94.0,23.0,843.0800000014901,-2.780000005364418
95.0,33.0,852.23,17.23
96.0,20.0,861.2500000107289,-8.990000000670552
97.0,5.0,870.2900000023842,-38.94999999970198
98.0,18.0,879.1699999976158,-12.940000001788139
99.0,32.0,888.3699999856949,15.009999999329448
100.0,15.0,897.1999999988079,-18.910000000596046
